Generation,Max Fitness,Avg Fitness,Avg Time Taken (s),Max Time Taken (s)
0,920.0,279.8,11.267230987548828,11.267230987548828
1,580.0,244.3,8.31775951385498,16.63551902770996
2,700.0,264.0,7.35383669535319,22.06151008605957
3,1700.0,324.7,6.948044002056122,27.792176008224487
4,1050.0,317.2,6.676812791824341,33.384063959121704
5,1020.0,346.1,6.497380336125691,38.98428201675415
6,1300.0,331.1,6.402671132768903,44.818697929382324
7,1920.0,350.9,6.314606487751007,50.51685190200806
8,1780.0,379.2,6.265513790978326,56.38962411880493
9,1800.0,386.3,6.234833192825318,62.348331928253174
10,1140.0,428.9,6.229388193650679,68.52327013015747
11,1820.0,437.7,6.21176540851593,74.54118490219116
12,1940.0,470.7,6.202748537063599,80.63573098182678
13,1170.0,488.7,6.195479001317706,86.73670601844788
14,1720.0,490.3,6.195479249954223,92.93218874931335
15,1830.0,536.8,6.1914946883916855,99.06391501426697
16,1920.0,570.0,6.194433226304896,105.30536484718323
17,3650.0,621.6,6.2088513771692915,111.75932478904724
18,1810.0,579.2,6.213078837645681,118.04849791526794
19,1850.0,645.1,6.2218003392219545,124.43600678443909
20,1940.0,698.9,6.237081754775274,130.97871685028076
21,1960.0,677.3,6.242705139246854,137.3395130634308
22,2280.0,659.9,6.249584695567256,143.74044799804688
23,2140.0,687.0,6.253357370694478,150.08057689666748
24,2250.0,761.5,6.2697303676605225,156.74325919151306
25,1920.0,683.7,6.273542349155132,163.11210107803345
26,2180.0,740.7,6.284243663152059,169.6745789051056
27,2690.0,855.8,6.295546463557652,176.27530097961426
28,2170.0,800.3,6.302615478121001,182.77584886550903
29,2600.0,806.4,6.309662334124247,189.28987002372742
30,2720.0,836.7,6.31304451727098,195.7043800354004
31,2240.0,741.3,6.318176589906216,202.1816508769989
32,2200.0,716.0,6.32395635951649,208.6905598640442
33,2570.0,787.0,6.329647288602941,215.2080078125
34,2640.0,826.2,6.336477511269706,221.7767128944397
35,2040.0,718.3,6.341590166091919,228.29724597930908
36,2550.0,830.9,6.347572184897758,234.86017084121704
37,2300.0,876.9,6.347735285758972,241.21394085884094
38,2880.0,866.8,6.351721947009747,247.71715593338013
39,2320.0,910.2,6.356059396266938,254.2423758506775
40,2710.0,979.0,6.355915808096165,260.59254813194275
41,2430.0,887.0,6.360458549999056,267.1392590999603
