Generation,Max Fitness,Avg Fitness,Avg Time Taken (s),Max Time Taken (s)
0,1250.0,297.8,11.191567182540894,11.191567182540894
1,1830.0,313.3,8.481865525245667,16.963731050491333
2,1070.0,329.6,7.559791008631389,22.679373025894165
3,900.0,310.6,7.0976497530937195,28.390599012374878
4,1160.0,367.2,6.846683406829834,34.23341703414917
5,1800.0,348.0,6.643252809842427,39.859516859054565
6,1800.0,359.9,6.52191812651498,45.65342688560486
7,1110.0,376.6,6.432472139596939,51.45977711677551
8,1050.0,377.4,6.370212554931641,57.331912994384766
9,1270.0,390.4,6.31499981880188,63.1499981880188
10,1440.0,395.7,6.276541558178988,69.04195713996887
11,1220.0,416.7,6.242493828137715,74.90992593765259
12,1190.0,441.0,6.229711936070369,80.9862551689148
13,1160.0,428.6,6.2238843611308505,87.13438105583191
14,1260.0,441.5,6.222572596867879,93.33858895301819
15,1420.0,461.5,6.216017499566078,99.45627999305725
16,1500.0,528.2,6.212149886523976,105.60654807090759
17,3090.0,572.5,6.225304007530212,112.05547213554382
18,1950.0,540.7,6.226876321591829,118.31065011024475
19,1950.0,571.2,6.233206057548523,124.66412115097046
20,1460.0,561.0,6.239511103857131,131.02973318099976
21,1420.0,597.5,6.2442310506647285,137.37308311462402
22,1870.0,605.7,6.250953964565111,143.77194118499756
23,2600.0,580.7,6.250606209039688,150.01454901695251
24,1510.0,550.0,6.26323600769043,156.58090019226074
25,2150.0,656.7,6.273284655350905,163.10540103912354
26,1920.0,659.8,6.2923794499150025,169.89424514770508
27,2050.0,701.1,6.30545003925051,176.55260109901428
28,2220.0,695.4,6.313644376294366,183.09568691253662
29,2660.0,731.0,6.32510347366333,189.7531042098999
30,2650.0,816.7,6.340931261739423,196.56886911392212
31,2230.0,684.5,6.349033161997795,203.16906118392944
32,4390.0,789.7,6.369248541918668,210.18520188331604
33,3980.0,856.2,6.372733298469992,216.67293214797974
34,3650.0,762.3,6.380238628387451,223.3083519935608
35,3570.0,867.0,6.389228721459706,230.01223397254944
36,3500.0,839.0,6.395305272695181,236.62629508972168
37,3520.0,781.5,6.400984557051408,243.2374131679535
38,2510.0,866.4,6.416252411328829,250.23384404182434
39,2270.0,784.6,6.422717350721359,256.90869402885437
40,2810.0,894.5,6.43112714697675,263.67621302604675
41,2680.0,833.5,6.429308403105963,270.03095293045044
42,4160.0,907.4,6.432987911756649,276.6184802055359
43,2290.0,892.3,6.438515636053952,283.2946879863739
44,2340.0,912.0,6.450816361109416,290.2867362499237
45,4220.0,944.2,6.455186175263447,296.93856406211853
46,2850.0,906.8,6.462574106581668,303.7409830093384
47,3860.0,969.7,6.463353335857391,310.2409601211548
48,4340.0,944.7,6.465585835125982,316.8137059211731
49,3250.0,893.3,6.4695725965499875,323.4786298274994
50,3870.0,1002.4,6.477764802820542,330.36600494384766
51,2270.0,983.2,6.48334167095331,337.13376688957214
52,3870.0,1147.1,6.487116224360916,343.81715989112854
53,2700.0,962.3,6.491580367088318,350.54533982276917
54,3510.0,940.3,6.492581328478726,357.09197306632996
55,3460.0,956.5,6.49705166050366,363.83489298820496
56,3470.0,1075.7,6.501847982406616,370.6053349971771
57,2700.0,1013.7,6.503449879843613,377.20009303092957
58,4040.0,1143.1,6.511410155538785,384.17319917678833
59,3900.0,1024.5,6.513590117295583,390.815407037735
60,2790.0,1033.4,6.518233639294984,397.612251996994
61,4150.0,1074.3,6.523514728392324,404.4579131603241
62,2770.0,1053.1,6.52447171438308,411.04171800613403
63,4030.0,1105.8,6.529902581125498,417.91376519203186
64,3710.0,1175.8,6.536745493228619,424.88845705986023
65,2850.0,1174.0,6.5420484867962925,431.7752001285553
66,5030.0,1294.1,6.550624060986647,438.89181208610535
67,4000.0,1255.1,6.557891442495234,445.9366180896759
68,3620.0,1228.6,6.565299697544264,453.0056791305542
69,4210.0,1267.5,6.570852143423898,459.95965003967285
70,3670.0,1315.5,6.578806507755333,467.09526205062866
71,3820.0,1351.3,6.58544377817048,474.15195202827454
72,3120.0,1335.0,6.596276877677604,481.5282120704651
73,4030.0,1261.0,6.601951773102219,488.5444312095642
74,5190.0,1284.4,6.610487025578816,495.78652691841125
75,4000.0,1269.5,6.617542420562945,502.9332239627838
76,3450.0,1254.1,6.62443226033991,510.0812840461731
77,3330.0,1096.0,6.62759473384955,516.9523892402649
78,3720.0,1311.5,6.633292026157621,524.030070066452
79,3700.0,1393.7,6.639379036426544,531.1503229141235
80,4930.0,1273.7,6.6430069517206265,538.0835630893707
81,4100.0,1216.5,6.649541622254906,545.2624130249023
82,2840.0,1210.0,6.651590663266469,552.082025051117
83,3630.0,1356.7,6.6572959167616705,559.2128570079803
84,4410.0,1189.7,6.660663624370799,566.156408071518
85,4100.0,1201.9,6.6655907658643505,573.2408058643341
86,2890.0,1217.3,6.670761864760826,580.3562822341919
87,2930.0,1231.1,6.674846532669934,587.3864948749542
88,3870.0,1171.1,6.6773535374845014,594.2844648361206
89,4100.0,1232.4,6.682279764281379,601.4051787853241
90,4120.0,1375.6,6.691872439541659,608.960391998291
91,4290.0,1521.7,6.699728792128355,616.3750488758087
92,3890.0,1227.8,6.702799461221182,623.36034989357
93,4230.0,1315.3,6.706545393517676,630.4152669906616
94,3050.0,1074.9,6.709785220497533,637.4295959472656
95,3740.0,1257.5,6.717880502343178,644.9165282249451
96,3860.0,1171.3,6.721892907447422,652.0236120223999
97,3890.0,1246.3,6.727345145478541,659.279824256897
98,3710.0,1235.5,6.731716404057512,666.4399240016937
99,4110.0,1445.7,6.7383490610122685,673.8349061012268
