Generation,Max Fitness,Avg Fitness,Avg Time Taken (s),Max Time Taken (s)
0,1100.0,283.2,11.393290996551514,11.393290996551514
1,2110.0,309.2,8.414605379104614,16.82921075820923
2,1810.0,327.7,7.480722347895305,22.442167043685913
3,1650.0,307.0,6.955727994441986,27.822911977767944
4,1830.0,329.9,6.669680976867676,33.34840488433838
5,1900.0,342.1,6.500356634457906,39.00213980674744
6,1010.0,338.3,6.378799983433315,44.6515998840332
7,1530.0,414.3,6.31463086605072,50.51704692840576
8,1790.0,397.9,6.245499107572767,56.20949196815491
9,1210.0,380.8,6.210320091247558,62.103200912475586
10,1800.0,373.8,6.1806677038019355,67.98734474182129
11,1830.0,394.7,6.1408387422561646,73.69006490707397
12,1990.0,439.2,6.115105060430674,79.49636578559875
13,1730.0,421.0,6.104753051485334,85.46654272079468
14,1830.0,464.4,6.0921595096588135,91.3823926448822
15,1830.0,490.5,6.08093748986721,97.29499983787537
16,1830.0,555.1,6.086222634595983,103.46578478813171
17,2190.0,544.3,6.078637599945068,109.41547679901123
18,4350.0,625.4,6.089811827007093,115.70642471313477
19,1960.0,592.4,6.085543739795685,121.7108747959137
20,1850.0,550.8,6.0773648988632925,127.62466287612915
21,1900.0,570.9,6.077895175326955,133.713693857193
22,1910.0,721.4,6.076181080030358,139.75216484069824
23,1890.0,724.2,6.0773399968942,145.85615992546082
24,1860.0,797.4,6.0780191898345945,151.95047974586487
25,1850.0,688.4,6.0781466869207526,158.03181385993958
26,1790.0,662.0,6.080437333495529,164.17180800437927
27,2000.0,733.8,6.0885394641331265,170.47910499572754
28,2000.0,736.0,6.086992173359312,176.52277302742004
29,2180.0,736.0,6.088432796796163,182.6529839038849
30,3620.0,856.4,6.09005957265054,188.79184675216675
31,2150.0,783.8,6.089255087077618,194.85616278648376
32,3700.0,773.5,6.091628847700177,201.02375197410583
33,2200.0,795.0,6.093551551594453,207.18075275421143
34,2640.0,774.4,6.098309591838292,213.4408357143402
35,2630.0,848.8,6.0993449158138695,219.57641696929932
36,2190.0,839.4,6.103656349955378,225.835284948349
37,2010.0,799.4,6.102677658984535,231.90175104141235
38,2340.0,890.0,6.104359455597707,238.07001876831055
39,1940.0,879.5,6.107638597488403,244.30554389953613
40,2510.0,889.3,6.109716357254401,250.49837064743042
41,1910.0,760.2,6.11001287755512,256.62054085731506
